product_type,size,front,back,template_sleeves,sleeveLeft,sleeveRight,template_hood,hood,dpi,unit
GILDAN_5000_PET,S,14x16,14x16,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
GILDAN_5000_PET,M,15x17,15x17,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
GILDAN_5000_PET,L,15x17,15x17,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
GILDAN_5000_PET,XL,15x17,15x17,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
GILDAN_5000_PET,2XL,15x17,15x17,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
GILDAN_5000_PET,3XL,15x17,15x17,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
GILDAN_5000_PET,4XL,15x17,15x17,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
GILDAN_5000_PET,5XL,15x17,15x17,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
COMFORT_1717_PET,S,14x16,14x16,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
COMFORT_1717_PET,M,14x16,14x16,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
COMFORT_1717_PET,L,14x16,14x16,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
COMFORT_1717_PET,XL,14x16,14x16,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
COMFORT_1717_PET,2XL,14x16,14x16,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
COMFORT_1717_PET,3XL,14x16,14x16,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
COMFORT_1717_PET,4XL,14x16,14x16,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
BELLACANVAS_3001_PET,XS,12x14,12x14,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
BELLACANVAS_3001_PET,S,14x16,14x16,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
BELLACANVAS_3001_PET,M,14x16,14x16,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
BELLACANVAS_3001_PET,L,14x16,14x16,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
BELLACANVAS_3001_PET,XL,14x16,14x16,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
BELLACANVAS_3001_PET,2XL,14x16,14x16,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
BELLACANVAS_3001_PET,3XL,14x16,14x16,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
WOMENTSHIRT_G5000L_PET,S,14x16,14x16,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
