order_number,external_order_number,created,status,order_item_id,variant_title,color,imported_design,image
RK-78695-26869,577105681996484969,15/09/2025,delivered,68c77dffa2fdac0903601f0e,Comfort Color 1717 / SEAFOAM / M,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RX-88623-86832,577105686710031239,15/09/2025,shipping,68c7807fa2fdac411760225d,Comfort Color 1717 / SEAFOAM / M,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RW-22739-67326,577105800050544739,15/09/2025,delivered,68c7834f8b536bcd93ee8d8f,Comfort Color 1717 / SEAFOAM / XL,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RG-23884-46443,577105798439342174,15/09/2025,delivered,68c78359e69837cd7f0e8664,Comfort Color 1717 / SEAFOAM / XL,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RJ-38434-39588,577105840344830193,15/09/2025,delivered,68c78522a2fdac229e603986,Comfort Color 1717 / SEAFOAM / L,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RR-93937-63953,577105891782726477,15/09/2025,shipping,68c798cf5780283b05df82d5,Comfort Color 1717 / SEAFOAM / XL,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RW-96447-44955,577105960938213760,15/09/2025,delivered,68c7b816fdf9777f28832226,Comfort Color 1717 / SEAFOAM / L,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RV-43959-92622,577105992763479031,15/09/2025,delivered,68c7ba72fdf97786ca83292e,Comfort Color 1717 / SEAFOAM / 3XL,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RN-44966-48253,577106049453690933,15/09/2025,shipping,68c7bbb39d299199098ab042,Comfort Color 1717 / SEAFOAM / 2XL,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RJ-68456-48779,577106252160865054,15/09/2025,shipping,68c7c8e7e6983722cb0f08dc,Comfort Color 1717 / SEAFOAM / L,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RE-25238-89839,577106270509568536,15/09/2025,delivered,68c7c9839d29912de58acfb4,Comfort Color 1717 / SEAFOAM / XL,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RQ-23264-96222,577106276480357078,15/09/2025,delivered,68c7ca6ffdf9770b67834922,Comfort Color 1717 / SEAFOAM / M,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RJ-55233-37746,577106358248575688,15/09/2025,delivered,68c7cf88a2fdaca74660caf9,Comfort Color 1717 / SEAFOAM / S,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RX-83486-46788,577106493576680388,15/09/2025,delivered,68c7d668fdf977cbf883655f,Comfort Color 1717 / SEAFOAM / XL,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RK-85234-37849,577106567311037162,15/09/2025,delivered,68c7db69e698377b560f320f,Comfort Color 1717 / SEAFOAM / S,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RQ-63543-87786,577106606091702712,15/09/2025,delivered,68c7e15ea2fdac3d8860f1cf,Comfort Color 1717 / SEAFOAM / L,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RZ-74963-38976,577106888715113469,16/09/2025,shipping,68c8d27ca2fdac88d761fc3a,Comfort Color 1717 / MOSS / M,MOSS,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RZ-63356-75596,577106930008887979,16/09/2025,shipping,68c8d61cc733822456f0f3e7,Comfort Color 1717 / SEAFOAM / M,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RM-63256-84943,577107015610962619,16/09/2025,delivered,68c8d895fdf97758dc848bfc,Comfort Color 1717 / SEAFOAM / 3XL,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RR-43784-67464,577107258811060815,16/09/2025,shipping,68c90c88fdf9777d6984da8c,Comfort Color 1717 / VIOLET / S,VIOLET,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RR-43784-67464,577107258811060815,16/09/2025,shipping,68c90c88fdf977077384da8e,Comfort Color 1717 / VIOLET / M,VIOLET,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RJ-53596-78466,577107270330913330,16/09/2025,delivered,68c90d2f0f8c65a8a521c8d0,Comfort Color 1717 / SEAFOAM / S,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RQ-67935-98589,577107293708324921,16/09/2025,delivered,68c90ec8a2fdac897f625bcd,Comfort Color 1717 / SEAFOAM / M,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RQ-85724-87527,577107362764329590,16/09/2025,shipping,68c91184fdf977673784e067,Comfort Color 1717 / SEAFOAM / S,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RN-86274-38826,577107403865887020,16/09/2025,delivered,68c91341e69837fbc210a820,Comfort Color 1717 / SEAFOAM / M,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RD-82837-79866,577107462546690379,16/09/2025,delivered,68c91613fdf97728ba84e6bc,Comfort Color 1717 / SEAFOAM / M,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RD-73453-69583,577107488898846850,16/09/2025,shipping,68c91891a2fdac7bb2626824,Comfort Color 1717 / SEAFOAM / M,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RM-35979-96547,577107545378493175,16/09/2025,shipping,68c91a15fdf977062384edc4,Comfort Color 1717 / SEAFOAM / XL,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RM-75275-67659,577107562213511456,16/09/2025,delivered,68c91a4ce69837bac910b2ca,Comfort Color 1717 / SEAFOAM / 2XL,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RY-46382-39532,577107579735675633,16/09/2025,delivered,68c91b71e698373a3c10b496,Comfort Color 1717 / SEAFOAM / M,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RK-27485-69228,577107585442418758,16/09/2025,delivered,68c91baca2fdac2e1f626d09,Comfort Color 1717 / SEAFOAM / L,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RE-33534-46848,577107670226604568,16/09/2025,delivered,68c91e9ffdf977582384f5d6,Comfort Color 1717 / SEAFOAM / M,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RD-75644-47683,577107910658658392,17/09/2025,shipping,68ca287d24f973b7cceae88a,Comfort Color 1717 / IVORY / L,IVORY,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RD-75644-47683,577107910658658392,17/09/2025,shipping,68ca287d24f973ee1beae88d,Comfort Color 1717 / IVORY / XL,IVORY,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RD-75644-47683,577107910658658392,17/09/2025,shipping,68ca287d24f9737b28eae88f,Comfort Color 1717 / IVORY / M,IVORY,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RM-89888-63558,577108202802483477,17/09/2025,shipping,68ca3223a7eba8d6454fde67,Comfort Color 1717 / SEAFOAM / 3XL,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RM-69645-72686,577108242434986826,17/09/2025,shipping,68ca389024f973345ceaff87,Comfort Color 1717 / SEAFOAM / M,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RG-34427-55768,577108329158643918,17/09/2025,shipping,68ca5c8b7dc6938fad9d9301,Comfort Color 1717 / SEAFOAM / XL,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RM-86649-76965,577108364812456520,17/09/2025,shipping,68ca5f7aa2fdac6644641889,Comfort Color 1717 / SEAFOAM / M,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RN-89894-77452,577108392227934609,17/09/2025,shipping,68ca60dbe10fc29c32a75d19,Comfort Color 1717 / SEAFOAM / M,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RB-38982-44798,577108417075646903,17/09/2025,shipping,68ca62a008e901d25c9b5390,Comfort Color 1717 / SEAFOAM / M,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RE-32664-39778,577108513227510663,17/09/2025,shipping,68ca6467e10fc2c80ea7621a,Comfort Color 1717 / SEAFOAM / 2XL,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RQ-55976-35966,577108628804768677,17/09/2025,shipping,68ca7a90d1d580ff330b40d6,Comfort Color 1717 / SEAFOAM / M,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RX-44677-28433,577108644962734340,17/09/2025,shipping,68ca7c1b08e9013ab89b77b8,Comfort Color 1717 / SEAFOAM / S,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
